"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.dart", "Dart", 41, 0, 3, 44
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.freezed.dart", "Dart", 1374, 43, 165, 1582
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_event.dart", "Dart", 10, 0, 1, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_state.dart", "Dart", 14, 0, 2, 16
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.freezed.dart", "Dart", 1315, 40, 137, 1492
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_event.dart", "Dart", 8, 0, 1, 9
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_state.dart", "Dart", 28, 0, 3, 31
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.dart", "Dart", 72, 0, 10, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.freezed.dart", "Dart", 732, 34, 105, 871
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_event.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_state.dart", "Dart", 18, 0, 4, 22
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.dart", "Dart", 108, 0, 14, 122
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.freezed.dart", "Dart", 1368, 43, 157, 1568
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_event.dart", "Dart", 11, 0, 1, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_state.dart", "Dart", 24, 0, 3, 27
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_bloc.dart", "Dart", 11, 1, 3, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_bloc.freezed.dart", "Dart", 445, 28, 69, 542
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_event.dart", "Dart", 5, 0, 1, 6
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_state.dart", "Dart", 12, 0, 4, 16
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_bloc.dart", "Dart", 34, 0, 8, 42
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_bloc.freezed.dart", "Dart", 668, 34, 101, 803
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_event.dart", "Dart", 10, 0, 2, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_state.dart", "Dart", 7, 0, 2, 9
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_bloc.dart", "Dart", 10, 0, 4, 14
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_bloc.freezed.dart", "Dart", 1049, 40, 133, 1222
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_event.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_state.dart", "Dart", 12, 0, 3, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_bloc.dart", "Dart", 16, 0, 5, 21
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_bloc.freezed.dart", "Dart", 540, 31, 81, 652
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_event.dart", "Dart", 7, 0, 1, 8
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_state.dart", "Dart", 10, 0, 3, 13
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user.dart", "Dart", 32, 0, 3, 35
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user.freezed.dart", "Dart", 953, 22, 74, 1049
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_failure.dart", "Dart", 7, 0, 3, 10
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_failure.freezed.dart", "Dart", 237, 19, 43, 299
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_objects.dart", "Dart", 44, 0, 14, 58
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\i_app_user_repo.dart", "Dart", 21, 0, 2, 23
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_failure.dart", "Dart", 13, 3, 3, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_failure.freezed.dart", "Dart", 1106, 37, 139, 1282
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_objects.dart", "Dart", 21, 0, 7, 28
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_validators.dart", "Dart", 18, 2, 3, 23
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\i_auth_facade.dart", "Dart", 17, 0, 2, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\error.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_failure.dart", "Dart", 18, 6, 7, 31
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_failure.freezed.dart", "Dart", 634, 25, 94, 753
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_object.dart", "Dart", 27, 1, 9, 37
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_validators.dart", "Dart", 25, 11, 6, 42
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\wall_filter.dart", "Dart", 16, 0, 2, 18
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\wall_filter.freezed.dart", "Dart", 246, 16, 27, 289
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\wall_item.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\wall_item.freezed.dart", "Dart", 116, 16, 27, 159
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\i_post_repo.dart", "Dart", 16, 4, 3, 23
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post.dart", "Dart", 16, 0, 7, 23
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post.freezed.dart", "Dart", 216, 16, 27, 259
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_failure.dart", "Dart", 6, 0, 4, 10
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_failure.freezed.dart", "Dart", 136, 16, 27, 179
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_objects.dart", "Dart", 29, 0, 10, 39
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_validators.dart", "Dart", 16, 0, 3, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\app_user\app_user_dtos.dart", "Dart", 115, 0, 17, 132
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\app_user\app_user_dtos.freezed.dart", "Dart", 743, 34, 83, 860
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\app_user\app_user_dtos.g.dart", "Dart", 68, 4, 10, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\app_user\app_user_repo.dart", "Dart", 137, 1, 14, 152
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\auth\auth_facade.dart", "Dart", 75, 0, 8, 83
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\post\post_dtos.dart", "Dart", 64, 12, 14, 90
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\post\post_dtos.freezed.dart", "Dart", 365, 25, 57, 447
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\post\post_dtos.g.dart", "Dart", 28, 4, 7, 39
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\post\post_repo.dart", "Dart", 154, 4, 10, 168
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\main.dart", "Dart", 8, 2, 4, 14
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\my_app.dart", "Dart", 14, 0, 5, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\bookmark_button.dart", "Dart", 55, 0, 6, 61
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\comment.dart", "Dart", 96, 0, 3, 99
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\comment_panel.dart", "Dart", 105, 1, 3, 109
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\custom_back_button.dart", "Dart", 17, 0, 3, 20
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\custom_circle_avatar.dart", "Dart", 15, 0, 2, 17
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\dialogs\filter_dialogs.dart", "Dart", 158, 2, 5, 165
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\drawer\home_drawer.dart", "Dart", 231, 0, 3, 234
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\like_button.dart", "Dart", 71, 0, 6, 77
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\modal_bottom_sheet.dart", "Dart", 79, 1, 2, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\post_widget.dart", "Dart", 150, 3, 4, 157
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\post_widget_v2.dart", "Dart", 133, 11, 3, 147
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\sub_button.dart", "Dart", 145, 4, 10, 159
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\ui_text.dart", "Dart", 18, 0, 3, 21
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\user_view_mini.dart", "Dart", 80, 0, 3, 83
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\auth_page_view.dart", "Dart", 21, 0, 4, 25
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\login_page.dart", "Dart", 264, 1, 3, 268
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\signup_page.dart", "Dart", 292, 1, 3, 296
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\entry_page.dart", "Dart", 17, 0, 3, 20
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\account_view.dart", "Dart", 145, 0, 3, 148
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\discover_view.dart", "Dart", 72, 0, 8, 80
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\home_view.dart", "Dart", 308, 0, 7, 315
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\notification_page\notification_view.dart", "Dart", 62, 4, 3, 69
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\profile_edit_page\profile_edit_page.dart", "Dart", 128, 24, 3, 155
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\profile_page\profile_page.dart", "Dart", 157, 0, 3, 160
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\settings_page\settings_page.dart", "Dart", 9, 0, 3, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\subs_tab\subs_tabs.dart", "Dart", 34, 0, 3, 37
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\write\create_post_page.dart", "Dart", 79, 0, 3, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\routes\app_router.dart", "Dart", 13, 1, 4, 18
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\routes\route_names.dart", "Dart", 3, 0, 1, 4
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\theme\light_theme.dart", "Dart", 45, 1, 5, 51
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\static\app_constants.dart", "Dart", 12, 1, 9, 22
"Total", "-", 16781, 629, 1941, 19351